"Position","thumbnail","route","date","price","aircraft","maxpax","flightTime","WiFi","Pets","Beds"
11,"https://lms-api.luxaviation.com/aircraft_images/144_f9934516-8806-4118-9484-794e488e443f.jpg","Paris-Le Bourget Airport (LFPB)  London Luton Airport (EGGW)","2024-12-27","Starting From EUR 8,800.00","Bombardier Global 6500","Passengers: 13","Est Flight Time: 00:45","Wifi: Yes","Pets: No","Beds: Yes"
12,"https://lms-api.luxaviation.com/aircraft_images/141_20f3867e-580e-4b73-80ee-2b2586de623e.jpg","Cape Town International Airport (FACT)  Keetmanshoop Airport (FYKT)","2024-12-27","Starting From ZAR 40,375.00","Pilatus PC-12 (NG)","Passengers: 8","Est Flight Time: 02:05","Wifi: No","Pets: No","Beds: No"
13,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Toulon-Hyères Airport (LFTH)  Wevelgem Airport (EBKT)","2024-12-27","Starting From EUR 5,225.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:25","Wifi: No","Pets: No","Beds: No"
14,"https://lms-api.luxaviation.com/aircraft_images/34_571ff6af-0689-4961-bcab-fe50322735a3.jpg","Palma De Mallorca Airport (LEPA)  Paris-Le Bourget Airport (LFPB)","2024-12-27","Starting From EUR 13,125.00","Dassault Falcon 900EX","Passengers: 14","Est Flight Time: 01:35","Wifi: Yes","Pets: No","Beds: Yes"
15,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Alicante International Airport (LEAL)  Wevelgem Airport (EBKT)","2024-12-27","Starting From EUR 7,425.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 02:20","Wifi: No","Pets: No","Beds: No"
16,"https://lms-api.luxaviation.com/aircraft_images/112_119796f6-2c12-44ee-a524-15d7a17ebde5.jpg","Venice Marco Polo Airport (LIPZ)  Cannes-Mandelieu Airport (LFMD)","2024-12-27","Starting From EUR 7,575.00","Embraer Legacy 500","Passengers: 8","Est Flight Time: 00:55","Wifi: Yes","Pets: Yes","Beds: Yes"
17,"https://lms-api.luxaviation.com/aircraft_images/144_f9934516-8806-4118-9484-794e488e443f.jpg","London Luton Airport (EGGW)  Paris-Le Bourget Airport (LFPB)","2024-12-27","Starting From EUR 8,800.00","Bombardier Global 6500","Passengers: 13","Est Flight Time: 00:45","Wifi: Yes","Pets: No","Beds: Yes"
18,"https://lms-api.luxaviation.com/aircraft_images/40_3e7d15e2-4b72-4353-b716-8a20583a2c76.jpg","Chambéry-Savoie Airport (LFLB)  London Luton Airport (EGGW)","2024-12-28","Starting From EUR 8,450.00","Embraer Legacy 600","Passengers: 13","Est Flight Time: 01:20","Wifi: No","Pets: Yes","Beds: Yes"
19,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Chambéry-Savoie Airport (LFLB)  Wevelgem Airport (EBKT)","2024-12-29","Starting From EUR 4,125.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:10","Wifi: No","Pets: No","Beds: No"
20,"https://lms-api.luxaviation.com/aircraft_images/118_74ed2813-483c-4364-a55a-ab6186d8d782.jpg","Nice-Côte d'Azur Airport (LFMN)  Orléans-Saint-Denis-de-l'Hôtel Airport (LFOZ)","2024-12-29","Starting From EUR 5,225.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:10","Wifi: No","Pets: No","Beds: No"
21,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Cannes-Mandelieu Airport (LFMD)  Wevelgem Airport (EBKT)","2024-12-29","Starting From EUR 5,225.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:25","Wifi: No","Pets: No","Beds: No"
22,"https://lms-api.luxaviation.com/aircraft_images/129_115fa078-1123-412f-9ec4-4b5bed5639fa.jpg","Cape Town International Airport (FACT)  Lanseria Airport (FALA)","2024-12-30","Starting From USD 4,500.00","Cessna Citation V","Passengers: 8","Est Flight Time: 02:00","Wifi: Yes","Pets: No","Beds: No"
23,"https://lms-api.luxaviation.com/aircraft_images/27_59caf9f9-044b-48ea-8a80-125b9c50dd10.jpg","Brussels Airport (EBBR)  Alicante International Airport (LEAL)","2024-12-31","Starting From EUR 9,100.00","Cessna Citation XLS","Passengers: 8","Est Flight Time: 02:25","Wifi: No","Pets: No","Beds: No"
24,"https://lms-api.luxaviation.com/aircraft_images/135_eb217855-e078-44ec-95a5-0d2abd343889.jpg","Melbourne Essendon Airport (YMEN)  Sydney Kingsford Smith International Airport (YSSY)","2025-01-01","Starting From AUD 19,250.00","Bombardier Global 6000","Passengers: 16","Est Flight Time: 01:10","Wifi: Yes","Pets: No","Beds: Yes"
25,"https://lms-api.luxaviation.com/aircraft_images/17_ad5f257d-9790-43d6-85d8-635184814ec6.jpg","Paris-Le Bourget Airport (LFPB)  Ciampino–G. B. Pastine International Airport (LIRA)","2025-01-01","Starting From EUR 13,875.00","Dassault Falcon 7X","Passengers: 13","Est Flight Time: 01:30","Wifi: Yes","Pets: Yes","Beds: Yes"
26,"https://lms-api.luxaviation.com/aircraft_images/105_121f0d48-a689-465f-b44c-6150878d95db.jpg","London Luton Airport (EGGW)  Václav Havel Airport Prague (LKPR)","2025-01-02","Starting From EUR 10,900.00","Embraer Legacy 650","Passengers: 13","Est Flight Time: 01:30","Wifi: Yes","Pets: Yes","Beds: Yes"
27,"https://lms-api.luxaviation.com/aircraft_images/121_efcf259e-c2f7-49cf-b5f4-74b01c2418e8.jpg","Paris-Le Bourget Airport (LFPB)  Geneva Cointrin International Airport (LSGG)","2025-01-02","Starting From EUR 2,575.00","Cessna Citation CJ2","Passengers: 6","Est Flight Time: 00:55","Wifi: No","Pets: Yes","Beds: No"
28,"https://lms-api.luxaviation.com/aircraft_images/66_27d0f4e3-b1a9-43eb-9a5c-cf10e528ca43.jpg","OR Tambo International Airport (FAOR)  Harry Mwanga Nkumbula International Airport (FLHN)","2025-01-02","Starting From ZAR 98,125.00","Bombardier Learjet 45XR","Passengers: 8","Est Flight Time: 01:35","Wifi: No","Pets: Yes","Beds: No"
29,"https://lms-api.luxaviation.com/aircraft_images/118_74ed2813-483c-4364-a55a-ab6186d8d782.jpg","Wevelgem Airport (EBKT)  Alicante International Airport (LEAL)","2025-01-03","Starting From EUR 7,700.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 02:20","Wifi: No","Pets: No","Beds: No"
30,"https://lms-api.luxaviation.com/aircraft_images/69_4f7a5f1f-19de-459b-9c5a-8211a2afe259.jpg","Kruger Mpumalanga International Airport (FAKN)  Cape Town International Airport (FACT)","2025-01-03","Starting From USD 7,000.00","Dassault Falcon 900EX","Passengers: 14","Est Flight Time: 02:10","Wifi: No","Pets: No","Beds: No"
31,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Wevelgem Airport (EBKT)  Chambéry-Savoie Airport (LFLB)","2025-01-03","Starting From EUR 4,125.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
32,"https://lms-api.luxaviation.com/aircraft_images/17_ad5f257d-9790-43d6-85d8-635184814ec6.jpg","Licenciado Adolfo Lopez Mateos International Airport (MMTO)  Argyle International Airport (TVSA)","2025-01-04","Starting From EUR 38,300.00","Dassault Falcon 7X","Passengers: 13","Est Flight Time: 04:35","Wifi: Yes","Pets: Yes","Beds: Yes"
33,"https://lms-api.luxaviation.com/aircraft_images/112_119796f6-2c12-44ee-a524-15d7a17ebde5.jpg","Cannes-Mandelieu Airport (LFMD)  Gibraltar Airport (LXGB)","2025-01-04","Starting From EUR 15,150.00","Embraer Legacy 500","Passengers: 8","Est Flight Time: 02:05","Wifi: Yes","Pets: Yes","Beds: Yes"
